[2026-01-06 07:19:13] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:19:13] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:19:19] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:19:19] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:19:25] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:19:26] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:20:08] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:20:08] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:20:14] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:20:14] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:20:20] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:20:20] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:21:13] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:21:13] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:21:19] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:21:20] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
[2026-01-06 07:21:26] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_monitor_plugin.py - Can't instantiate abstract class MonitorPlugin without an implementation for abstract methods 'cleanup', 'collect_metrics', 'initialize', 'process_alert'
[2026-01-06 07:21:26] [ERROR] [PluginManager] [logger.py:86] 加载插件失败: plugins/sample_cognitive_plugin.py - Can't instantiate abstract class CognitivePlugin without an implementation for abstract methods 'cleanup', 'enhance_tokenization', 'initialize', 'process_activation'
